"","X.10lgP","Mass","ppm","m.z","RT","Start","End","diff_range"
"12275",17.13,620.3316,6.4,621.3428,4.67,1.0291,1.0546,0.0255000000000001
"12276",17.13,806.3923,-5.7,807.395,12.43,1.2026,1.2282,0.0256000000000001
"12277",17.13,1014.5709,-1.4,1015.5768,14.05,1.3778,1.4035,0.0257000000000001
"12278",17.13,1115.507,7.8,1116.5229,15.22,1.4014,1.4271,0.0257000000000001
"12279",17.12,985.5192,-3.4,986.5231,6.31,1.3357,1.3614,0.0256999999999998
"12280",17.12,1109.4989,8.7,1110.5159,8.85,1.4024,1.4281,0.0256999999999998
"12281",17.12,883.4439,6.6,884.457,10.35,1.2497,1.2753,0.0256000000000001
"12282",17.11,625.2642,6.7,626.2757,6.97,1.025,1.0505,0.0255000000000001
"12283",17.11,972.5352,5.1,487.2773,4.51,0.7244,0.7497,0.0253
"12284",17.11,660.3442,1.4,661.3524,6.74,1.0505,1.076,0.0255000000000001
"12285",17.1,2607.3037,10.1,870.1172,17.07,0.97,0.9955,0.0255000000000001
"12286",17.1,847.4188,-2,848.4243,15.38,1.1996,1.2251,0.0255000000000001
"12287",17.1,546.2762,24.6,547.2969,3.6,0.9619,0.9873,0.0254
"12288",17.1,989.4818,-3,990.4861,7.84,1.3511,1.3768,0.0257000000000001
"12289",17.1,874.4548,-5,875.4577,9.9,1.2241,1.2497,0.0256000000000001
"12290",17.1,689.3596,-11.5,690.3589,11.02,1.0923,1.1178,0.0254999999999999
"12291",17.1,764.4069,-0.8,765.4135,13.3,1.1638,1.1893,0.0255000000000001
"12292",17.1,764.4069,-0.8,765.4135,13.3,1.1638,1.1893,0.0255000000000001
"12293",17.1,502.2863,-15.3,503.2859,0.25,0.9222,0.9477,0.0255
"12294",17.1,502.2863,-15.3,503.2859,0.25,0.9222,0.9477,0.0255
"12295",17.1,631.3177,25.6,632.3411,7.66,1.0352,1.0607,0.0255000000000001
"12296",17.09,703.3388,0.3,704.3463,8.75,1.0729,1.0984,0.0255000000000001
"12297",17.09,1126.5804,3.8,564.2996,8.25,0.7892,0.8146,0.0254
"12298",17.09,780.3688,5,781.3799,5.35,1.1423,1.1679,0.0255999999999998
"12299",17.09,1133.5387,11.8,567.7833,5.69,0.771,0.7963,0.0253
